PLAYER,POSITION,TEAM,POINTS_DK,SALARY_DK
Joe Flacco,QB,NYJ,0,4900
Matt Schaub,QB,ATL,0,4300
Drew Brees,QB,NO,0,6100
New Orleans D/ST,DST,NO,9.39,3800
Seattle D/ST,DST,SEA,9.16,3000
Dallas D/ST,DST,DAL,8.33,2400
Arizona D/ST,DST,ARI,7.61,2700
Los Angeles Rams D/ST,DST,LA,7.4,3200
San Francisco D/ST,DST,SF,7.1,2700
Houston D/ST,DST,HOU,7,2600
Philadelphia D/ST,DST,PHI,6.82,2200
Green Bay D/ST,DST,GB,6.8,3300
Tennessee D/ST,DST,TEN,6.76,3100
Kansas City D/ST,DST,KC,6.73,3500
Cincinnati D/ST,DST,CIN,6.62,2300
Pittsburgh D/ST,DST,PIT,6.61,3400
Chicago D/ST,DST,CHI,6.49,3000
Tampa Bay D/ST,DST,TB,6.42,2900
Washington D/ST,DST,WSH,6.34,2800
Carolina D/ST,DST,CAR,6.14,2900
Baltimore D/ST,DST,BAL,6.16,3000
Buffalo D/ST,DST,BUF,6.07,2300
Indianapolis D/ST,DST,IND,5.92,3200
New England D/ST,DST,NE,5.77,3300
Atlanta D/ST,DST,ATL,5.82,2400
Cleveland D/ST,DST,CLE,5.75,2800
New York Giants D/ST,DST,NYG,5.62,2600
Denver D/ST,DST,DEN,5.6,2500
Los Angeles Chargers D/ST,DST,LAC,5.52,2600
Las Vegas D/ST,DST,LV,4.83,2500
New York Jets D/ST,DST,NYJ,4.62,2100
Miami D/ST,DST,MIA,3.98,2800
Jacksonville D/ST,DST,JAC,3.88,2200
Minnesota D/ST,DST,MIN,3.66,2300
Detroit D/ST,DST,DET,2.37,2000
